store_name,region,open_year,store_area,parking_count,competitor_count,market_density,performance_excluding_tax23,population23,household23,longitude,latitude
이천점,경기,2000,2430,407,1,15,1069,83844,37564,127.458826446,37.293314823
익산점,전북특별자치도,2006,3060,668,1,8,754,75446,36053,126.957862802,35.930649766
일산점,경기,1994,1790,342,4,8,314,242037,102434,126.782281833,37.648099472
자양점,서울특별시,2007,3520,1058,1,12,1537,114448,55798,127.073194189,37.538413135
전주점,전북특별자치도,1998,2270,867,2,9,1021,187758,79405,127.120447787,35.832590583
제주점,제주특별자치도,1996,1870,475,1,8,890,45802,21739,126.521183933,33.517963385
제천점,충청북도,2009,2590,520,1,2,728,45883,22789,128.222904936,37.123213282
중동점,경기,2006,4040,705,3,12,1194,237396,100076,126.763949339,37.504065044
진접점,경기도,2010,3040,525,1,6,463,363572,146458,127.182110313,37.708796723
진주점,경남,2000,3440,454,2,12,825,115317,52011,128.077433379,35.191585317
창동점,서울,1993,1440,159,1,7,600,176999,77565,127.04669933,37.65163617
창원점,경상남도,2002,4080,815,3,30,1230,167802,70328,128.680191136,35.226551336
천안서북점,충남,2012,3950,689,1,4,1046,221498,90859,127.122339216,36.83856879
천안점,충남,2001,3850,680,1,15,1274,221498,90859,127.12714102,36.795923713
천안터미널점,충청남도,2010,1920,1603,2,18,452,122885,55332,127.156664628,36.819822523
천호점,서울,2000,2900,114,3,20,672,222322,92359,127.125616693,37.538640719
청계천점,서울특별시,2008,2980,952,1,20,981,62548,32889,127.019843132,37.570745415
청주점,충북,1998,2370,510,1,6,864,108816,48543,127.474573589,36.601130307
춘천점,강원특별자치도,2005,3030,687,3,8,1077,130581,57052,127.718633576,37.863735921
충주점,충북,2001,3060,619,1,15,676,72346,33227,127.923752484,36.972112959
칠성점,대구,2002,2890,1200,1,5,1107,219534,93421,128.589807815,35.885215824
통영점,경상남도,2005,4140,770,1,9,781,54662,25413,128.417971058,34.887158632
파주운정점,경기도,2011,3310,575,1,3,756,246727,102194,126.745078828,37.710422361
파주점,경기도,2004,2740,600,1,1,530,246727,102194,126.750831606,37.747134985
평촌점,경기도,2006,3260,640,1,12,834,245468,97243,126.964260194,37.394570835
평택점,경기,2001,3240,664,1,4,1492,123590,60372,127.075601003,37.020992295
포천점,경기도,2010,2510,439,1,5,468,64222,31507,127.160464208,37.84775038
포항이동점,경북,2004,3120,767,1,4,881,125092,53314,129.339046447,36.031805648
포항점,경북,2001,3660,891,1,5,1129,105093,45661,129.397634504,35.992481861
풍산점,경기,2014,4140,582,1,4,1034,242037,102434,126.78710118,37.673911063
하남점,경기도,2008,3570,620,1,5,1057,241315,101401,127.205369005,37.552755526
하월곡점,서울특별시,2012,3350,760,4,13,474,147932,61889,127.030928157,37.605037187
해운대점,부산,2000,3760,694,1,6,1170,240833,101856,129.167392443,35.166068396
화성봉담점,경기,2012,3380,589,3,5,661,0,0,126.972686753,37.222474073
화정점,경기도,2006,3310,615,4,26,637,307464,130213,126.833384695,37.632612852
흥덕점,경기도,2009,2940,580,1,6,466,237374,92806,127.073332785,37.275791907
