store_name,region,open_year,store_area,parking_count,competitor_count,market_density,performance_excluding_tax23,population23,household23,longitude,latitude,competition_index,competition_log,population_log,area_log,household_size,demand_competition_ratio,parking_per_area,sales_per_person,sales_per_competitor,store_efficiency,predicted_sales,opportunity_gap,priority_score,expected_after_online,estimated_cost,roi,strategy,grade
광교점,경기도,2015,4950,694,2,4,728,233976,97325,127.046877975,37.296270889,6,1.9459101490553132,12.36297809891071,8.507344855361422,2.4040688415104032,38996.0,0.1402020202020202,0.0031114302321605634,121.33333333333333,0.14707070707070707,757.5228011644607,29.522801164460702,364.9897442147233,871.1512213391297,37.87614005822304,3.779456436666416,공격 투자,A
신촌점,서울,2020,490,121,1,18,268,155219,75063,126.936001776,37.554993916,19,2.995732273553991,11.95259874440813,6.19644412779452,2.0678496729413958,8169.421052631579,0.24693877551020407,0.0017265927495989538,14.105263157894736,0.5469387755102041,296.4840355650146,28.484035565014608,340.4582477300701,340.9566408997668,14.824201778250732,4.921454928305471,공격 투자,A
동인천점,인천,2001,3970,780,1,3,721,104781,47714,126.629178935,37.466618715,4,1.6094379124341003,11.559637280392185,8.286773231131251,2.196022131869053,26195.25,0.1964735516372796,0.006881018505263359,180.25,0.18161209068010076,746.7722759815642,25.772275981564235,297.91816223704603,858.7881173787988,37.33861379907821,3.690231193912197,공격 투자,B
평촌점,경기도,2006,3260,640,1,12,834,245468,97243,126.964260194,37.394570835,13,2.6390573296152584,12.410925945331194,8.089789175789319,2.524274240819391,18882.153846153848,0.19631901840490798,0.003397591539426728,64.15384615384616,0.2558282208588957,857.0633413812021,23.06334138120212,286.237421933992,985.6228425883824,42.853167069060106,3.5381945596701,공격 투자,B
포항이동점,경북,2004,3120,767,1,4,881,125092,53314,129.339046447,36.031805648,5,1.791759469228055,11.736812739653638,8.045908742270779,2.346325543009341,25018.4,0.24583333333333332,0.007042816487065519,176.2,0.28237179487179487,905.0588230405954,24.05882304059537,282.3739007639322,1040.8176464966846,45.25294115202977,3.531652140791652,공격 투자,B
아산점,충남,2006,2080,435,1,5,614,175131,75450,127.021221791,36.776476521,6,1.9459101490553132,12.073295254289436,7.640603826393634,2.3211530815109342,29188.5,0.2091346153846154,0.0035059469768344838,102.33333333333333,0.2951923076923077,637.0663518315394,23.06635183153935,278.4868761014945,732.6263046062702,31.853317591576968,3.7241428389750766,공격 투자,B
포천점,경기도,2010,2510,439,1,5,468,64222,31507,127.160464208,37.84775038,6,1.9459101490553132,11.070116680971605,7.828436359157585,2.0383406861967184,10703.666666666666,0.1749003984063745,0.007287222447136496,78.0,0.18645418326693228,492.7622020442501,24.762202044250103,274.12046590764226,566.6765323508876,24.638110102212508,4.005036585254418,공격 투자,B
천안점,충남,2001,3850,680,1,15,1274,221498,90859,127.12714102,36.795923713,16,2.833213344056216,12.30817335378445,8.25608813381491,2.437821239502966,13843.625,0.17662337662337663,0.005751744936748865,79.625,0.33090909090909093,1293.203082109405,19.20308210940493,236.35486352951267,1487.1835444258156,64.66015410547026,3.2969847872320535,공격 투자,B
천호점,서울,2000,2900,114,3,20,672,222322,92359,127.125616693,37.538640719,23,3.1780538303479458,12.311886558387954,7.972810784121404,2.4071503589254974,9666.173913043478,0.039310344827586205,0.0030226428333678178,29.217391304347824,0.2317241379310345,690.9886055964923,18.988605596492334,233.78555800598426,794.6368964359662,34.54943027982462,3.5496069093672094,공격 투자,B
창원점,경상남도,2002,4080,815,3,30,1230,167802,70328,128.680191136,35.226551336,33,3.5263605246161616,12.030545951282123,8.314097335405807,2.3859913547946765,5084.909090909091,0.19975490196078433,0.007330067579647442,37.27272727272727,0.3014705882352941,1248.4569621897754,18.456962189775368,222.0473317451693,1435.7255065182417,62.42284810948877,3.2956763869120826,공격 투자,B
