address,longitude,latitude
경남 진주시 진양호로 477,128.077433379,35.191585317
서울 도봉구 노해로 65길 4,127.04669933,37.65163617
경상남도 창원시 성산구 원이대로 608,128.680191136,35.226551336
충남 천안시 서북구 삼성대로 20,127.122339216,36.83856879
충남 천안시 서북구 충무로 187,127.12714102,36.795923713
충청남도 천안시 동남구 만남로 43,127.156664628,36.819822523
서울 강동구 천호대로 1017,127.125616693,37.538640719
서울특별시 중구 청계천로 400,127.019843132,37.570745415
충북 청주시 서원구 청남로 1853,127.474573589,36.601130307
"강원특별자치도 춘천시 경춘로 2353 (온의동, 이마트)",127.718633576,37.863735921
"충북 충주시 중원대로 3420 (문화동, 이마트)",127.923752484,36.972112959
대구 북구 침산로 93,128.589807815,35.885215824
강원특별자치도 태백시 굴거랑길 4 (화전동)이마트 태백점,128.96183083,37.200020952
경상남도 통영시 광도면 죽림4로 9,128.417971058,34.887158632
경기도 파주시 한울로 123,126.745078828,37.710422361
경기도 파주시 당하길 10,126.750831606,37.747134985
경기도 안양시 동안구 시민대로 300,126.964260194,37.394570835
경기 평택시 영신로 29,127.075601003,37.020992295
경기도 포천시 호국로 915,127.160464208,37.84775038
"경북 포항시 북구 대이로 188 (득량동, 이마트)",129.339046447,36.031805648
경북 포항시 남구 냉천로 10,129.397634504,35.992481861
경기 고양시 일산동구 무궁화로 237,126.78710118,37.673911063
경기도 하남시 덕풍서로 70,127.205369005,37.552755526
"서울특별시 성북구 종암로 167(하월곡동, 동일하이빌뉴시티)",127.030928157,37.605037187
부산 해운대구 좌동순환로 511,129.167392443,35.166068396
"경기 화성시 효행구 봉담읍 효행로 278 (동화리, 이마트)",126.972686753,37.222474073
경기도 고양시 덕양구 백양로 79,126.833384695,37.632612852
경기도 용인시 기흥구 흥덕중앙로 60,127.073332785,37.275791907
